symbol	species	link
SND1	hg19	https://www.uniprot.org/uniprot/Q7KZF4
SRSF2	hg19	https://www.uniprot.org/uniprot/Q01130
IGF2BP2	hg19	https://www.uniprot.org/uniprot/Q9Y6M1
QKI	hg19	https://www.uniprot.org/uniprot/Q96PU8
SF3B4	hg19	https://www.uniprot.org/uniprot/Q15427
SAFB	hg19	https://www.uniprot.org/uniprot/Q15424
SRSF9	hg19	https://www.uniprot.org/uniprot/Q13242
HNRNPL	hg19	https://www.uniprot.org/uniprot/P14866
TRA2A	hg19	https://www.uniprot.org/uniprot/Q13595
PPIL4	hg19	https://www.uniprot.org/uniprot/Q8WUA2
MTPAP	hg19	https://www.uniprot.org/uniprot/Q9NVV4
EWSR1	hg19	https://www.uniprot.org/uniprot/Q01844
CSTF2	hg19	https://www.uniprot.org/uniprot/P33240
ELAVL1	hg19	https://www.uniprot.org/uniprot/Q15717
CPSF6	hg19	https://www.uniprot.org/uniprot/Q16630
AARS	hg19	
ILF3	hg19	https://www.uniprot.org/uniprot/Q12906
CAPRIN1	hg19	https://www.uniprot.org/uniprot/Q14444
SSB	hg19	https://www.uniprot.org/uniprot/P05455
NSUN2	hg19	https://www.uniprot.org/uniprot/Q08J23
PABPN1	hg19	https://www.uniprot.org/uniprot/Q86U42
SFRS1	hg19	https://www.uniprot.org/uniprot/Q07955
EFTUD2	hg19	https://www.uniprot.org/uniprot/Q15029
DROSHA	hg19	https://www.uniprot.org/uniprot/Q9NRR4
DKC1	hg19	https://www.uniprot.org/uniprot/O60832
ELAVL1A	hg19	
TARDBP	hg19	https://www.uniprot.org/uniprot/Q13148
ZNF622	hg19	https://www.uniprot.org/uniprot/Q969S3
EIF4A3	hg19	https://www.uniprot.org/uniprot/P38919
TIAL1	hg19	https://www.uniprot.org/uniprot/Q01085
TIA1	hg19	https://www.uniprot.org/uniprot/P31483
GEMIN5	hg19	https://www.uniprot.org/uniprot/Q8TEQ6
FUBP3	hg19	https://www.uniprot.org/uniprot/Q96I24
BCCIP	hg19	https://www.uniprot.org/uniprot/Q9P287
FUS	hg19	https://www.uniprot.org/uniprot/P35637
CSTF2T	hg19	https://www.uniprot.org/uniprot/Q9H0L4
G3BP1	hg19	https://www.uniprot.org/uniprot/Q13283
ALKBH5	hg19	https://www.uniprot.org/uniprot/Q6P6C2
CPEB4	hg19	https://www.uniprot.org/uniprot/Q17RY0
LIN28B	hg19	https://www.uniprot.org/uniprot/Q6ZN17
AKAP8L	hg19	https://www.uniprot.org/uniprot/Q9ULX6
PTBP1	hg19	https://www.uniprot.org/uniprot/P26599
DDX59	hg19	https://www.uniprot.org/uniprot/Q5T1V6
AKAP1	hg19	https://www.uniprot.org/uniprot/Q92667
DGCR8	hg19	https://www.uniprot.org/uniprot/Q8WYQ5
AGGF1	hg19	https://www.uniprot.org/uniprot/Q8N302
XPO5	hg19	https://www.uniprot.org/uniprot/Q9HAV4
PRPF4	hg19	https://www.uniprot.org/uniprot/O43172
EXOSC5	hg19	https://www.uniprot.org/uniprot/Q9NQT4
GRSF1	hg19	https://www.uniprot.org/uniprot/Q12849
PUS1	hg19	https://www.uniprot.org/uniprot/Q9Y606
Ago	hg19	
PHF6	hg19	https://www.uniprot.org/uniprot/Q8IWS0
SMNDC1	hg19	https://www.uniprot.org/uniprot/O75940
XRN2	hg19	https://www.uniprot.org/uniprot/Q9H0D6
JARID2	hg19	https://www.uniprot.org/uniprot/Q92833
ZC3H8	hg19	https://www.uniprot.org/uniprot/Q8N5P1
LARP7	hg19	https://www.uniprot.org/uniprot/Q4G0J3
KHDRBS1	hg19	https://www.uniprot.org/uniprot/Q07666
HNRNPU	hg19	https://www.uniprot.org/uniprot/Q00839
DHX30	hg19	https://www.uniprot.org/uniprot/Q7L2E3
LSM11	hg19	https://www.uniprot.org/uniprot/P83369
ZC3H7B	hg19	https://www.uniprot.org/uniprot/Q9UGR2
